time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol,timestamp,Symbol
1490054400,1125.53,1043.87,1047.51,92591.27,101051998.73,1121.29,direct,,2017-03-21,BTC
1490140800,1121.88,997.78,1121.29,115286.08,120730492.05,1044.72,direct,,2017-03-22,BTC
1490227200,1062.79,1022.02,1044.72,56517.89,58898141.13,1035.03,direct,,2017-03-23,BTC
1490313600,1038.38,927.35,1035.03,132599.72,130042865.54,939.7,direct,,2017-03-24,BTC
1490400000,995.96,890.43,939.7,127044.59,118395054.45,966.3,direct,,2017-03-25,BTC
1490486400,1004.32,946.65,966.3,85332.41,83255983.42,969.44,direct,,2017-03-26,BTC
1490572800,1048.85,961.8,969.44,91256.43,92332221.14,1045.14,direct,,2017-03-27,BTC
1490659200,1068.41,1015.45,1045.14,80000.9,83567551.46,1044.42,direct,,2017-03-28,BTC
1490745600,1058.66,1008.34,1044.42,68852.51,71261535.48,1041.9,direct,,2017-03-29,BTC
1490832000,1052.66,1020.93,1041.9,74984.88,77633883.53,1037.91,direct,,2017-03-30,BTC
1490918400,1088.2,1035.18,1037.91,90987.94,96543920.02,1079.11,direct,,2017-03-31,BTC
1491004800,1103.74,1067.47,1079.11,50658.36,55020078.21,1086.12,direct,,2017-04-01,BTC
1491091200,1109.48,1074.21,1086.12,70980.71,77853933.84,1097.4,direct,,2017-04-02,BTC
1491177600,1157.87,1095.55,1097.4,98499.3,111870807.42,1147.56,direct,,2017-04-03,BTC
1491264000,1161.19,1122.15,1147.56,70998.95,81164094.44,1141.77,direct,,2017-04-04,BTC
1491350400,1143.84,1110.06,1141.77,69469.37,78335573.66,1129.87,direct,,2017-04-05,BTC
1491436800,1201.55,1130.51,1129.87,92357.58,108182158.18,1188.7,direct,,2017-04-06,BTC
1491523200,1201.23,1173.18,1188.7,59746.57,71184485.98,1190.49,direct,,2017-04-07,BTC
1491609600,1198.22,1166.65,1190.49,33180.63,39393003.33,1180.78,direct,,2017-04-08,BTC
1491696000,1215.1,1173.99,1180.78,45351.08,54498333.26,1204.34,direct,,2017-04-09,BTC
1491782400,1214.87,1194.81,1204.34,40013.05,48473680.7,1206.71,direct,,2017-04-10,BTC
1491868800,1229.57,1195.76,1206.71,37394.78,45563707.07,1220.74,direct,,2017-04-11,BTC
1491955200,1225.46,1207.36,1220.74,44783.23,54699396.14,1212.53,direct,,2017-04-12,BTC
1492041600,1218.66,1150.29,1212.53,66051.93,78456422.62,1176.2,direct,,2017-04-13,BTC
1492128000,1195.4,1162.16,1176.2,47217.49,56129576.67,1177.33,direct,,2017-04-14,BTC
1492214400,1194.85,841.53,1177.33,28384.58,33877537.21,1176.99,direct,,2017-04-15,BTC
1492300800,1187.97,1166.74,1176.99,18930.29,22538918.55,1176.8,direct,,2017-04-16,BTC
1492387200,1202.97,1172.81,1176.8,46483.54,56095607.39,1194.01,direct,,2017-04-17,BTC
1492473600,1213.88,1191.14,1194.01,52747.52,64900219.25,1206.09,direct,,2017-04-18,BTC
1492560000,1218.21,1194.08,1206.09,43347.15,53034357.1,1215.2,direct,,2017-04-19,BTC
1492646400,1246.64,1210.67,1215.2,55194.86,69223360.98,1238.09,direct,,2017-04-20,BTC
1492732800,1256.97,1235.56,1238.09,41344.02,52498296.85,1249.64,direct,,2017-04-21,BTC
1492819200,1256.97,1215.78,1249.64,43814.59,55776932.72,1240.89,direct,,2017-04-22,BTC
1492905600,1256.23,1223.06,1240.89,42608.01,54224355.75,1249.14,direct,,2017-04-23,BTC
1492992000,1256.36,1234.86,1249.14,38542.24,49281629.32,1248.18,direct,,2017-04-24,BTC
1493078400,1272.62,1244.21,1248.18,43885.78,56659016.28,1264.31,direct,,2017-04-25,BTC
1493164800,1309.2,1263.0,1264.31,58908.66,77649710.39,1286.63,direct,,2017-04-26,BTC
1493251200,1346.79,1285.3,1286.63,61771.48,83319636.4,1332.91,direct,,2017-04-27,BTC
1493337600,1356.15,1287.62,1332.91,77569.41,104536476.71,1329.62,direct,,2017-04-28,BTC
1493424000,1343.69,1314.15,1329.62,40969.34,55982468.15,1336.28,direct,,2017-04-29,BTC
1493510400,1358.94,1309.66,1336.28,40643.04,55470285.83,1351.91,direct,,2017-04-30,BTC
1493596800,1448.68,1342.78,1351.91,100438.27,144414038.52,1415.81,direct,,2017-05-01,BTC
1493683200,1471.14,1394.83,1415.81,70004.82,103342244.97,1445.93,direct,,2017-05-02,BTC
1493769600,1496.39,1424.05,1445.93,81717.36,122551707.4,1485.55,direct,,2017-05-03,BTC
1493856000,1609.84,1437.11,1485.55,136711.3,213084949.56,1516.76,direct,,2017-05-04,BTC
1493942400,1588.11,1485.01,1516.76,120379.24,188015771.96,1507.77,direct,,2017-05-05,BTC
1494028800,1560.42,1503.93,1507.77,59602.01,92747185.54,1545.29,direct,,2017-05-06,BTC
1494115200,1572.89,1495.18,1545.29,71355.58,111708072.42,1554.45,direct,,2017-05-07,BTC
1494201600,1667.67,1552.86,1554.45,107226.89,174687869.23,1664.47,direct,,2017-05-08,BTC
1494288000,1757.39,1619.97,1664.47,127228.68,219169486.19,1697.5,direct,,2017-05-09,BTC
1494374400,1766.18,1664.99,1697.5,89679.81,156203600.07,1752.31,direct,,2017-05-10,BTC
1494460800,1864.76,1741.54,1752.31,109009.0,198829123.41,1819.29,direct,,2017-05-11,BTC
1494547200,1822.51,1641.18,1819.29,109341.25,192159873.95,1686.39,direct,,2017-05-12,BTC
1494633600,1770.5,1594.59,1686.39,75467.87,128390095.83,1763.74,direct,,2017-05-13,BTC
1494720000,1802.75,1736.13,1763.74,40635.4,72874378.57,1772.55,direct,,2017-05-14,BTC
1494806400,1776.65,1656.81,1772.55,80241.72,138499150.92,1708.92,direct,,2017-05-15,BTC
1494892800,1752.55,1653.72,1708.92,75541.37,130379207.17,1729.34,direct,,2017-05-16,BTC
1494979200,1842.83,1703.97,1729.34,94618.69,170954154.68,1801.3,direct,,2017-05-17,BTC
1495065600,1980.49,1791.12,1801.3,73095.54,135901905.39,1880.99,direct,,2017-05-18,BTC
1495152000,1969.7,1875.28,1880.99,98759.13,191523926.23,1962.0,direct,,2017-05-19,BTC
1495238400,2048.45,1944.4,1962.0,89862.03,179346919.05,2040.18,direct,,2017-05-20,BTC
1495324800,2094.94,1980.07,2040.18,78775.32,161036810.13,2044.19,direct,,2017-05-21,BTC
1495411200,2264.76,1998.61,2044.19,174376.65,373482496.01,2124.41,direct,,2017-05-22,BTC
1495497600,2286.3,2110.78,2124.41,114179.23,251969081.94,2272.58,direct,,2017-05-23,BTC
1495584000,2496.98,2263.29,2272.58,149254.84,353734030.88,2445.28,direct,,2017-05-24,BTC
1495670400,2781.76,2210.48,2445.28,248438.97,622139030.97,2307.22,direct,,2017-05-25,BTC
1495756800,2616.52,2051.45,2306.96,191494.03,441342711.51,2244.89,direct,,2017-05-26,BTC
1495843200,2322.37,1868.56,2244.89,222952.91,446034004.02,2052.43,direct,,2017-05-27,BTC
1495929600,2300.52,2051.07,2052.43,125004.39,266766116.87,2189.02,direct,,2017-05-28,BTC
1496016000,2337.35,2117.34,2189.02,92235.69,204101576.11,2278.21,direct,,2017-05-29,BTC
1496102400,2329.26,2147.1,2278.21,120964.11,270069146.9,2192.55,direct,,2017-05-30,BTC
1496188800,2330.62,2168.37,2192.55,117749.1,261223035.96,2303.34,direct,,2017-05-31,BTC
1496275200,2460.84,2303.34,2303.34,122696.44,290070431.91,2412.65,direct,,2017-06-01,BTC
1496361600,2493.97,2385.59,2412.65,83028.45,199765372.83,2492.6,direct,,2017-06-02,BTC
1496448000,2582.77,2449.95,2492.6,70956.49,177168595.51,2545.43,direct,,2017-06-03,BTC
1496534400,2559.79,2478.18,2545.43,59478.96,149060810.38,2524.06,direct,,2017-06-04,BTC
1496620800,2705.38,2523.92,2524.06,86686.38,225611887.49,2704.96,direct,,2017-06-05,BTC
1496707200,2931.24,2699.68,2704.96,192228.25,538772473.78,2870.5,direct,,2017-06-06,BTC
1496793600,2880.95,2626.56,2870.5,122676.04,340329903.73,2691.51,direct,,2017-06-07,BTC
1496880000,2808.41,2623.61,2691.51,95420.44,260898606.12,2798.78,direct,,2017-06-08,BTC
1496966400,2852.07,2786.07,2798.78,67044.96,189237110.88,2811.43,direct,,2017-06-09,BTC
1497052800,2914.19,2807.36,2811.43,86516.58,246869682.08,2900.25,direct,,2017-06-10,BTC
1497139200,2977.86,2867.25,2900.25,83026.07,241516660.76,2973.45,direct,,2017-06-11,BTC
1497225600,2985.06,2483.63,2973.45,217963.32,585158909.87,2656.77,direct,,2017-06-12,BTC
1497312000,2784.77,2647.44,2656.77,116738.08,314476276.72,2712.99,direct,,2017-06-13,BTC
1497398400,2803.72,2348.99,2712.99,174189.24,448294279.42,2467.27,direct,,2017-06-14,BTC
1497484800,2521.6,2125.56,2467.27,262787.33,606264366.01,2442.46,direct,,2017-06-15,BTC
1497571200,2536.42,2335.28,2442.46,117206.43,286630757.58,2508.58,direct,,2017-06-16,BTC
1497657600,2690.71,2454.81,2508.58,95948.29,246698591.9,2655.1,direct,,2017-06-17,BTC
1497744000,2676.04,2488.59,2655.1,92004.22,235239296.33,2539.56,direct,,2017-06-18,BTC
1497830400,2617.75,2518.78,2539.56,81829.22,210372750.85,2616.82,direct,,2017-06-19,BTC
1497916800,2800.48,2613.98,2616.82,111303.55,300034010.58,2754.38,direct,,2017-06-20,BTC
1498003200,2804.41,2624.35,2754.38,116033.61,313234721.45,2677.62,direct,,2017-06-21,BTC
1498089600,2757.32,2623.17,2677.62,78297.6,210318780.96,2722.84,direct,,2017-06-22,BTC
1498176000,2759.66,2699.48,2722.84,56938.1,155303414.19,2710.37,direct,,2017-06-23,BTC
1498262400,2741.56,2540.35,2710.37,86964.18,228007287.01,2590.05,direct,,2017-06-24,BTC
1498348800,2660.66,2472.37,2590.05,86972.43,220679135.83,2541.62,direct,,2017-06-25,BTC
1498435200,2584.75,2327.26,2541.62,165825.86,401912134.89,2446.05,direct,,2017-06-26,BTC
1498521600,2585.06,2309.63,2446.05,159263.78,381517099.87,2583.75,direct,,2017-06-27,BTC
1498608000,2616.95,2490.11,2583.75,110423.89,279792448.24,2577.74,direct,,2017-06-28,BTC
1498694400,2605.86,2526.51,2577.74,75323.92,191733499.8,2558.37,direct,,2017-06-29,BTC
1498780800,2576.28,2469.54,2558.37,73001.6,183878856.3,2480.61,direct,,2017-06-30,BTC
1498867200,2529.62,2387.47,2480.61,66319.98,160661673.8,2424.61,direct,,2017-07-01,BTC
1498953600,2555.34,2375.86,2424.61,67757.31,165839565.2,2536.46,direct,,2017-07-02,BTC
1499040000,2617.48,2506.3,2536.46,83418.16,212244951.2,2572.47,direct,,2017-07-03,BTC
1499126400,2658.73,2569.99,2572.47,80675.07,210433639.12,2617.32,direct,,2017-07-04,BTC
1499212800,2642.74,2562.04,2617.32,89719.19,232257106.93,2627.86,direct,,2017-07-05,BTC
1499299200,2634.84,2581.8,2627.86,60155.45,156558009.83,2614.24,direct,,2017-07-06,BTC
1499385600,2617.48,2484.73,2614.24,90447.94,229168229.22,2513.88,direct,,2017-07-07,BTC
1499472000,2568.73,2480.62,2513.88,54508.76,136973389.49,2564.86,direct,,2017-07-08,BTC
1499558400,2576.73,2509.65,2564.86,39161.96,99506518.51,2511.43,direct,,2017-07-09,BTC
1499644800,2530.34,2271.79,2511.43,123797.54,297270301.0,2344.02,direct,,2017-07-10,BTC
1499731200,2412.75,2265.48,2344.02,146630.2,341998621.09,2324.29,direct,,2017-07-11,BTC
1499817600,2424.82,2262.08,2324.29,109522.9,257095280.13,2403.09,direct,,2017-07-12,BTC
1499904000,2436.66,2334.96,2403.09,88166.37,208630220.69,2362.44,direct,,2017-07-13,BTC
1499990400,2370.53,2165.36,2362.44,114411.35,257704533.44,2234.17,direct,,2017-07-14,BTC
1500076800,2237.13,1974.03,2234.17,155317.39,320719096.8,1975.08,direct,,2017-07-15,BTC
1500163200,2044.41,1808.99,1975.08,189643.47,364287861.72,1914.09,direct,,2017-07-16,BTC
1500249600,2233.83,1913.79,1914.09,176887.53,368366495.35,2233.39,direct,,2017-07-17,BTC
1500336000,2400.74,2164.59,2233.39,202621.16,465220151.81,2320.23,direct,,2017-07-18,BTC
1500422400,2412.38,2243.13,2320.23,154319.01,357639189.58,2282.58,direct,,2017-07-19,BTC
1500508800,2932.81,2282.11,2282.58,310335.43,807416890.88,2866.02,direct,,2017-07-20,BTC
1500595200,2873.96,2622.54,2866.02,193756.93,529154789.97,2675.08,direct,,2017-07-21,BTC
1500681600,2876.71,2658.59,2675.08,121917.95,341992860.2,2836.53,direct,,2017-07-22,BTC
1500768000,2856.67,2675.65,2836.53,108229.76,299869260.34,2756.61,direct,,2017-07-23,BTC
1500854400,2798.89,2715.69,2756.61,83009.25,229047365.02,2763.42,direct,,2017-07-24,BTC
1500940800,2779.08,2472.62,2763.42,205883.15,534765380.75,2582.58,direct,,2017-07-25,BTC
1501027200,2631.73,2441.54,2582.58,135502.93,340465234.92,2559.21,direct,,2017-07-26,BTC
1501113600,2712.92,2547.74,2559.21,103832.54,269880857.99,2691.88,direct,,2017-07-27,BTC
1501200000,2843.78,2683.59,2691.88,138904.86,383479795.74,2806.75,direct,,2017-07-28,BTC
1501286400,2812.13,2699.42,2806.75,84491.69,230818894.97,2733.5,direct,,2017-07-29,BTC
1501372800,2773.06,2621.68,2733.5,82717.65,222933516.31,2766.49,direct,,2017-07-30,BTC
1501459200,2916.3,2723.05,2766.49,91115.22,254836601.62,2883.27,direct,,2017-07-31,BTC
1501545600,2946.02,2659.62,2883.27,123174.1,341216428.6,2746.99,direct,,2017-08-01,BTC
1501632000,2773.8,2668.87,2746.99,81817.6,222534344.58,2720.53,direct,,2017-08-02,BTC
1501718400,2822.88,2717.62,2720.53,68102.9,188517085.91,2809.99,direct,,2017-08-03,BTC
1501804800,2892.67,2779.51,2809.99,68760.4,195800289.46,2878.49,direct,,2017-08-04,BTC
1501891200,3344.01,2875.91,2878.49,159402.96,503737620.4,3262.8,direct,,2017-08-05,BTC
1501977600,3295.07,3166.52,3262.8,60660.39,196484496.53,3232.03,direct,,2017-08-06,BTC
1502064000,3425.13,3198.51,3232.03,88111.88,294021645.24,3401.91,direct,,2017-08-07,BTC
1502150400,3494.87,3357.15,3401.91,106940.67,366169429.25,3429.38,direct,,2017-08-08,BTC
1502236800,3437.15,3251.03,3429.38,97062.76,324058681.71,3348.79,direct,,2017-08-09,BTC
1502323200,3453.84,3322.92,3348.79,71000.32,242024460.29,3425.67,direct,,2017-08-10,BTC
1502409600,3706.48,3409.79,3425.67,97564.43,345135492.36,3654.37,direct,,2017-08-11,BTC
1502496000,3967.26,3611.36,3654.37,123593.57,469532325.43,3871.62,direct,,2017-08-12,BTC
1502582400,4189.42,3847.31,3871.62,158586.97,638917500.34,4062.6,direct,,2017-08-13,BTC
1502668800,4336.71,3978.95,4062.6,128460.0,540927757.84,4327.94,direct,,2017-08-14,BTC
1502755200,4436.48,3837.13,4327.94,211581.81,872840682.33,4161.66,direct,,2017-08-15,BTC
1502841600,4398.06,3938.62,4161.66,112901.04,472960334.46,4387.4,direct,,2017-08-16,BTC
1502928000,4487.5,4194.1,4387.4,127475.88,554232802.49,4278.92,direct,,2017-08-17,BTC
1503014400,4362.73,3978.28,4278.92,144398.64,603898315.45,4105.37,direct,,2017-08-18,BTC
1503100800,4189.68,3957.46,4105.37,113724.38,462723151.89,4150.45,direct,,2017-08-19,BTC
1503187200,4182.29,4034.4,4150.45,70163.05,288193446.22,4066.6,direct,,2017-08-20,BTC
1503273600,4097.25,3966.93,4066.6,90644.62,365174045.82,4005.1,direct,,2017-08-21,BTC
1503360000,4142.68,3612.21,4005.1,169138.73,659657838.92,4089.7,direct,,2017-08-22,BTC
1503446400,4255.62,4070.49,4089.7,96649.15,402340258.48,4141.09,direct,,2017-08-23,BTC
1503532800,4364.11,4111.71,4141.09,72358.36,305373477.79,4318.35,direct,,2017-08-24,BTC
1503619200,4461.71,4292.63,4318.35,82901.88,362283252.98,4364.41,direct,,2017-08-25,BTC
1503705600,4379.28,4263.28,4364.41,46159.77,199403922.82,4352.3,direct,,2017-08-26,BTC
1503792000,4408.18,4321.12,4352.3,42516.01,185180843.1,4345.75,direct,,2017-08-27,BTC
1503878400,4403.13,4195.23,4345.75,75486.08,325285703.33,4390.31,direct,,2017-08-28,BTC
1503964800,4647.83,4350.22,4390.31,100801.36,455467850.19,4597.31,direct,,2017-08-29,BTC
1504051200,4644.06,4491.79,4597.31,68471.63,313466398.12,4583.02,direct,,2017-08-30,BTC
1504137600,4765.07,4580.13,4583.02,72293.57,338981145.1,4735.11,direct,,2017-08-31,BTC
1504224000,4925.23,4690.17,4735.11,102012.79,491140364.58,4921.85,direct,,2017-09-01,BTC
1504310400,4976.52,4448.64,4921.85,160770.39,747713818.1,4573.8,direct,,2017-09-02,BTC
1504396800,4719.78,4397.74,4573.8,102823.39,470135795.37,4612.92,direct,,2017-09-03,BTC
1504483200,4621.01,4098.58,4612.92,170399.25,737216060.51,4267.45,direct,,2017-09-04,BTC
1504569600,4496.67,4004.62,4267.45,158410.81,673846827.74,4409.08,direct,,2017-09-05,BTC
1504656000,4660.04,4401.53,4409.08,110931.13,504717245.65,4618.71,direct,,2017-09-06,BTC
1504742400,4690.55,4493.2,4618.71,70531.23,324939872.82,4635.6,direct,,2017-09-07,BTC
1504828800,4699.59,4130.88,4635.6,180364.02,786819863.5,4326.45,direct,,2017-09-08,BTC
1504915200,4402.15,4185.33,4326.45,77087.34,332195251.06,4335.13,direct,,2017-09-09,BTC
1505001600,4338.08,4032.15,4335.13,108075.24,451244396.53,4245.89,direct,,2017-09-10,BTC
1505088000,4364.42,4134.62,4245.89,88757.81,375254125.16,4217.9,direct,,2017-09-11,BTC
1505174400,4387.76,4074.97,4217.9,107041.94,453402207.42,4158.92,direct,,2017-09-12,BTC
1505260800,4174.58,3752.01,4158.92,186540.37,728385231.78,3870.29,direct,,2017-09-13,BTC
1505347200,3930.69,3218.98,3870.29,317592.57,1118258889.56,3243.08,direct,,2017-09-14,BTC
1505433600,3824.43,2979.88,3243.08,448551.92,1519153953.02,3713.76,direct,,2017-09-15,BTC
1505520000,3893.67,3551.83,3713.76,169361.61,627559216.22,3698.92,direct,,2017-09-16,BTC
1505606400,3796.56,3485.83,3698.92,96068.08,351250484.2,3689.61,direct,,2017-09-17,BTC
1505692800,4122.75,3689.0,3689.61,147927.08,586938661.3,4100.28,direct,,2017-09-18,BTC
1505779200,4120.71,3852.22,4100.28,123214.81,488897829.62,3907.96,direct,,2017-09-19,BTC
1505865600,4053.04,3846.76,3907.96,86645.15,342438072.5,3882.16,direct,,2017-09-20,BTC
1505952000,3912.79,3576.54,3882.16,145124.78,543570164.08,3617.27,direct,,2017-09-21,BTC
1506038400,3753.51,3505.81,3617.27,114717.36,414612501.81,3600.83,direct,,2017-09-22,BTC
1506124800,3813.39,3563.18,3600.83,67820.32,253370774.72,3788.02,direct,,2017-09-23,BTC
1506211200,3790.89,3633.88,3788.02,49661.76,183852135.74,3667.52,direct,,2017-09-24,BTC
1506297600,3971.5,3665.67,3667.52,100194.7,386674961.65,3932.83,direct,,2017-09-25,BTC
1506384000,3982.31,3858.75,3932.83,63252.3,248481868.86,3892.7,direct,,2017-09-26,BTC
1506470400,4232.35,3882.08,3892.7,117596.07,480358673.93,4212.2,direct,,2017-09-27,BTC
1506556800,4274.64,4112.88,4212.2,92228.17,386909537.01,4195.65,direct,,2017-09-28,BTC
1506643200,4237.51,4030.37,4195.65,97803.91,404599756.28,4172.79,direct,,2017-09-29,BTC
1506729600,4383.27,4164.25,4172.79,67493.68,290796939.99,4360.62,direct,,2017-09-30,BTC
1506816000,4412.62,4258.32,4360.62,60583.85,262485153.92,4403.09,direct,,2017-10-01,BTC
1506902400,4477.38,4364.67,4403.09,71201.48,314621927.61,4401.32,direct,,2017-10-02,BTC
1506988800,4435.99,4230.73,4401.32,81867.3,353046057.47,4314.18,direct,,2017-10-03,BTC
1507075200,4355.29,4183.57,4314.18,64081.96,272424730.47,4218.66,direct,,2017-10-04,BTC
1507161600,4365.76,4143.35,4218.66,63613.2,271914958.4,4321.44,direct,,2017-10-05,BTC
1507248000,4422.15,4296.93,4321.44,61692.93,269878225.69,4371.94,direct,,2017-10-06,BTC
1507334400,4472.92,4319.48,4371.94,40202.08,176332039.12,4435.81,direct,,2017-10-07,BTC
1507420800,4622.87,4419.36,4435.81,71366.95,323063950.84,4611.7,direct,,2017-10-08,BTC
1507507200,4875.38,4556.15,4611.7,110191.77,518586828.49,4777.49,direct,,2017-10-09,BTC
1507593600,4930.0,4722.81,4777.49,98485.0,475717720.64,4763.36,direct,,2017-10-10,BTC
1507680000,4874.89,4718.6,4763.36,70482.75,338533507.33,4824.2,direct,,2017-10-11,BTC
1507766400,5432.63,4814.98,4824.2,163916.09,848641969.34,5432.62,direct,,2017-10-12,BTC
1507852800,5852.78,5391.97,5432.62,215018.92,1211469140.96,5637.26,direct,,2017-10-13,BTC
1507939200,5839.62,5568.86,5637.26,76224.35,434406119.95,5824.71,direct,,2017-10-14,BTC
1508025600,5862.69,5448.22,5824.71,101636.95,571166215.25,5688.14,direct,,2017-10-15,BTC
1508112000,5795.33,5576.1,5677.35,61358.95,349154669.33,5759.33,direct,,2017-10-16,BTC
1508198400,5773.32,5521.09,5759.25,65637.43,368658284.35,5598.58,direct,,2017-10-17,BTC
1508284800,5601.3,5114.87,5598.58,122020.31,654722509.03,5575.83,direct,,2017-10-18,BTC
1508371200,5737.41,5517.62,5576.71,83056.09,469774559.06,5698.65,direct,,2017-10-19,BTC
1508457600,6075.32,5611.39,5698.62,123860.51,729487923.01,5993.11,direct,,2017-10-20,BTC
1508544000,6187.2,5874.54,5993.11,112943.89,684989667.22,6006.65,direct,,2017-10-21,BTC
1508630400,6070.56,5722.98,6006.65,105030.93,618893096.8,5982.86,direct,,2017-10-22,BTC
1508716800,6048.98,5644.22,5982.86,137140.4,801148315.46,5903.61,direct,,2017-10-23,BTC
1508803200,5904.63,5463.41,5903.61,143735.81,811951129.66,5513.08,direct,,2017-10-24,BTC
1508889600,5747.96,5375.64,5513.08,105839.48,585738379.88,5734.0,direct,,2017-10-25,BTC
1508976000,5970.4,5689.92,5734.0,93675.55,547664553.57,5887.61,direct,,2017-10-26,BTC
1509062400,5997.83,5692.32,5887.62,83933.5,488283724.04,5764.56,direct,,2017-10-27,BTC
1509148800,5871.04,5654.8,5764.56,53232.17,305611140.99,5726.61,direct,,2017-10-28,BTC
1509235200,6295.43,5679.37,5726.61,163055.75,966990808.93,6147.52,direct,,2017-10-29,BTC
1509321600,6226.18,6018.97,6147.7,78624.31,481600502.95,6124.28,direct,,2017-10-30,BTC
1509408000,6467.2,6090.83,6124.28,101249.62,637838767.02,6451.24,direct,,2017-10-31,BTC
1509494400,6738.74,6355.0,6449.1,133191.93,869798619.79,6737.78,direct,,2017-11-01,BTC
1509580800,7339.91,6737.77,6737.78,238796.19,1663170039.86,7024.81,direct,,2017-11-02,BTC
1509667200,7445.62,6938.93,7024.81,154886.75,1120978013.29,7152.12,direct,,2017-11-03,BTC
1509753600,7492.24,6957.84,7146.98,106602.67,773371754.85,7363.8,direct,,2017-11-04,BTC
1509840000,7599.44,7284.33,7363.8,105727.2,789287755.18,7389.55,direct,,2017-11-05,BTC
1509926400,7429.7,6934.73,7389.55,159688.48,1148125488.89,6959.23,direct,,2017-11-06,BTC
1510012800,7222.37,6957.8,6959.27,101044.57,716798409.14,7102.75,direct,,2017-11-07,BTC
1510099200,7869.1,7026.97,7102.23,220224.38,1632547465.88,7444.36,direct,,2017-11-08,BTC
1510185600,7457.12,7040.83,7444.36,126769.9,915963933.06,7129.59,direct,,2017-11-09,BTC
1510272000,7318.97,6406.05,7129.59,222001.18,1513421266.51,6565.8,direct,,2017-11-10,BTC
1510358400,6821.5,6197.87,6565.8,135719.07,878096915.35,6339.86,direct,,2017-11-11,BTC
